runID,water_depth_min,water_depth_max,wedge_slope,source_depth,SSP_source,source_in_duct,duct_type,surface_duct,surface_duct_depth,surface_duct_SSP,bottom_duct,bottom_duct_depth,bottom_duct_width,bottom_duct_SSP,waveguide,CHmax_axis,SSP_CHmax,deep_CH_axis,deep_CH_SSP,shallow_CH_axis,shallow_CH_SSP,profile,bottom_type,num_rays,criterion,residual,runtime
24,50,1500,-2,30,1523.1001,0,NaN,1,10.5105,1523.5176,0,NaN,NaN,NaN,1,900.9009,1491.6548,NaN,NaN,NaN,NaN,North Pacific Ocean Winter,1,2500,0,14.4811,14.316
25,50,1500,-2,30,1523.1001,0,NaN,1,10.5105,1523.5176,0,NaN,NaN,NaN,1,900.9009,1491.6548,NaN,NaN,NaN,NaN,North Pacific Ocean Winter,1,3000,0,13.1824,16.5617
26,50,1500,-2,30,1523.1001,0,NaN,1,10.5105,1523.5176,0,NaN,NaN,NaN,1,900.9009,1491.6548,NaN,NaN,NaN,NaN,North Pacific Ocean Winter,1,3500,0,12.0473,15.4676
27,50,1500,-2,30,1523.1001,0,NaN,1,10.5105,1523.5176,0,NaN,NaN,NaN,1,900.9009,1491.6548,NaN,NaN,NaN,NaN,North Pacific Ocean Winter,1,4000,0,12.1174,17.4052
28,50,1500,-2,30,1523.1001,0,NaN,1,10.5105,1523.5176,0,NaN,NaN,NaN,1,900.9009,1491.6548,NaN,NaN,NaN,NaN,North Pacific Ocean Winter,1,4500,0,11.1058,19.4601
29,50,1500,-2,30,1523.1001,0,NaN,1,10.5105,1523.5176,0,NaN,NaN,NaN,1,900.9009,1491.6548,NaN,NaN,NaN,NaN,North Pacific Ocean Winter,1,5000,0,10.139,21.5437
30,50,1500,-2,30,1523.1001,0,NaN,1,10.5105,1523.5176,0,NaN,NaN,NaN,1,900.9009,1491.6548,NaN,NaN,NaN,NaN,North Pacific Ocean Winter,1,6000,0,8.8681,25.9652
31,50,1500,-2,30,1523.1001,0,NaN,1,10.5105,1523.5176,0,NaN,NaN,NaN,1,900.9009,1491.6548,NaN,NaN,NaN,NaN,North Pacific Ocean Winter,1,7000,0,8.2366,29.8932
32,50,1500,-2,30,1523.1001,0,NaN,1,10.5105,1523.5176,0,NaN,NaN,NaN,1,900.9009,1491.6548,NaN,NaN,NaN,NaN,North Pacific Ocean Winter,1,8000,0,6.8292,34.175
33,50,1500,-2,30,1523.1001,0,NaN,1,10.5105,1523.5176,0,NaN,NaN,NaN,1,900.9009,1491.6548,NaN,NaN,NaN,NaN,North Pacific Ocean Winter,1,9000,0,6.8953,38.655
34,50,1500,-2,30,1523.1001,0,NaN,1,10.5105,1523.5176,0,NaN,NaN,NaN,1,900.9009,1491.6548,NaN,NaN,NaN,NaN,North Pacific Ocean Winter,1,10000,0,5.2035,41.5574
35,50,1500,-2,30,1523.1001,0,NaN,1,10.5105,1523.5176,0,NaN,NaN,NaN,1,900.9009,1491.6548,NaN,NaN,NaN,NaN,North Pacific Ocean Winter,1,12500,0,4.0747,52.6227
36,50,1500,-2,30,1523.1001,0,NaN,1,10.5105,1523.5176,0,NaN,NaN,NaN,1,900.9009,1491.6548,NaN,NaN,NaN,NaN,North Pacific Ocean Winter,1,15000,0,2.3063,62.9905
37,50,1500,-2,15,1523.4828,0,NaN,1,10.5105,1523.5176,0,NaN,NaN,NaN,1,900.9009,1491.6548,NaN,NaN,NaN,NaN,North Pacific Ocean Winter,2,20000,1,0,81.0179
38,50,1500,-2,15,1523.4828,0,NaN,1,10.5105,1523.5176,0,NaN,NaN,NaN,1,900.9009,1491.6548,NaN,NaN,NaN,NaN,North Pacific Ocean Winter,2,500,0,20.7161,2.6643
39,50,1500,-2,15,1523.4828,0,NaN,1,10.5105,1523.5176,0,NaN,NaN,NaN,1,900.9009,1491.6548,NaN,NaN,NaN,NaN,North Pacific Ocean Winter,2,1000,0,18.9369,4.6187
40,50,1500,-2,15,1523.4828,0,NaN,1,10.5105,1523.5176,0,NaN,NaN,NaN,1,900.9009,1491.6548,NaN,NaN,NaN,NaN,North Pacific Ocean Winter,2,1500,0,17.5576,6.6286
