water_depth_min,water_depth_max,profile,num_rays,SLD_depth,SLD_avgrad,DC_axis,DC_top,DC_bot,DC_avgrad_top,DC_avgrad_bot
250,250,Mediterranean Sea Winter,1500,250,0.008061515384616,,,,,
250,250,Mediterranean Sea Winter,1500,250,0.008061515384616,,,,,
250,250,Mediterranean Sea Winter,1500,250,0.008061515384616,,,,,
250,250,Mediterranean Sea Winter,1500,250,0.008061515384616,,,,,
250,250,Mediterranean Sea Winter,1500,250,0.008061515384616,,,,,
250,250,Mediterranean Sea Winter,1500,250,0.008061515384616,,,,,
250,250,Mediterranean Sea Winter,1000,250,0.008061515384616,,,,,
250,250,Mediterranean Sea Winter,1000,250,0.008061515384616,,,,,
250,250,Mediterranean Sea Winter,1500,250,0.008061515384616,,,,,
250,250,Mediterranean Sea Winter,1500,250,0.008061515384616,,,,,
250,250,Mediterranean Sea Winter,1500,250,0.008061515384616,,,,,
250,250,Mediterranean Sea Winter,1000,250,0.008061515384616,,,,,
250,250,Mediterranean Sea Winter,1500,250,0.008061515384616,,,,,
250,1500,Mediterranean Sea Winter,1500,1500,0.012014897894737,,,,,
250,1500,Mediterranean Sea Winter,1000,1500,0.012014897894737,,,,,
250,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
250,1500,Mediterranean Sea Winter,1000,1500,0.012014897894737,,,,,
250,1500,Mediterranean Sea Winter,1000,1500,0.012014897894737,,,,,
250,1500,Mediterranean Sea Winter,1500,1500,0.012014897894737,,,,,
250,1500,Mediterranean Sea Winter,1000,1500,0.012014897894737,,,,,
250,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
250,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
250,1500,Mediterranean Sea Winter,1000,1500,0.012014897894737,,,,,
250,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
250,1500,Mediterranean Sea Winter,1500,1500,0.012014897894737,,,,,
250,1500,Mediterranean Sea Winter,1000,1500,0.012014897894737,,,,,
250,1500,Mediterranean Sea Winter,2000,1500,0.012014897894737,,,,,
250,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
250,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
350,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
350,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
350,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
350,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
350,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
350,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
350,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
350,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
350,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
350,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
350,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
350,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
350,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
350,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
350,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
350,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
350,350,Mediterranean Sea Winter,1000,350,0.00814485,,,,,
350,350,Mediterranean Sea Winter,1000,350,0.00814485,,,,,
350,350,Mediterranean Sea Winter,1500,350,0.00814485,,,,,
350,350,Mediterranean Sea Winter,1500,350,0.00814485,,,,,
350,350,Mediterranean Sea Winter,1500,350,0.00814485,,,,,
350,350,Mediterranean Sea Winter,1500,350,0.00814485,,,,,
350,350,Mediterranean Sea Winter,1000,350,0.00814485,,,,,
350,350,Mediterranean Sea Winter,1000,350,0.00814485,,,,,
350,350,Mediterranean Sea Winter,1000,350,0.00814485,,,,,
350,350,Mediterranean Sea Winter,1000,350,0.00814485,,,,,
350,350,Mediterranean Sea Winter,1000,350,0.00814485,,,,,
350,350,Mediterranean Sea Winter,1500,350,0.00814485,,,,,
350,350,Mediterranean Sea Winter,1500,350,0.00814485,,,,,
350,350,Mediterranean Sea Winter,1000,350,0.00814485,,,,,
350,350,Mediterranean Sea Winter,1000,350,0.00814485,,,,,
350,350,Mediterranean Sea Winter,1000,350,0.00814485,,,,,
350,1500,Mediterranean Sea Winter,2000,1500,0.012014897894737,,,,,
350,1500,Mediterranean Sea Winter,1000,1500,0.012014897894737,,,,,
350,1500,Mediterranean Sea Winter,1500,1500,0.012014897894737,,,,,
