runID,water_depth_min,water_depth_max,wedge_slope,source_depth,SSP_source,source_in_duct,duct_type,surface_duct,surface_duct_depth,surface_duct_SSP,bottom_duct,bottom_duct_depth,bottom_duct_width,bottom_duct_SSP,waveguide,CHmax_axis,SSP_CHmax,deep_CH_axis,deep_CH_SSP,shallow_CH_axis,shallow_CH_SSP,profile,bottom_type,num_rays,criterion,residual,runtime
1,50,1500,-2,15,1512.1809,1,SD,1,1500,1531.7297,0,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,Mediterranean Sea Winter,1,20000,1,0,61.7522
2,50,1500,-2,15,1512.1809,1,SD,1,1500,1531.7297,0,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,Mediterranean Sea Winter,1,500,0,25.966,2.1189
3,50,1500,-2,15,1512.1809,1,SD,1,1500,1531.7297,0,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,Mediterranean Sea Winter,1,1000,0,20.4437,3.8076
4,50,1500,-2,15,1512.1809,1,SD,1,1500,1531.7297,0,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,Mediterranean Sea Winter,1,1500,0,15.3408,5.1952
5,50,1500,-2,15,1512.1809,1,SD,1,1500,1531.7297,0,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,Mediterranean Sea Winter,1,2000,0,13.9288,6.8443
6,50,1500,-2,15,1512.1809,1,SD,1,1500,1531.7297,0,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,Mediterranean Sea Winter,1,2500,0,11.2636,8.5651
7,50,1500,-2,15,1512.1809,1,SD,1,1500,1531.7297,0,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,Mediterranean Sea Winter,1,3000,0,13.8134,9.553
8,50,1500,-2,15,1512.1809,1,SD,1,1500,1531.7297,0,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,Mediterranean Sea Winter,1,3500,0,6.5016,10.3202
9,50,1500,-2,15,1512.1809,1,SD,1,1500,1531.7297,0,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,Mediterranean Sea Winter,1,4000,0,4.5812,11.9831
10,50,1500,-2,15,1512.1809,1,SD,1,1500,1531.7297,0,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,Mediterranean Sea Winter,1,4500,0,9.928,13.1036
11,50,1500,-2,15,1512.1809,1,SD,1,1500,1531.7297,0,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,Mediterranean Sea Winter,1,5000,0,7.5043,14.2631
12,50,1500,-2,15,1512.1809,1,SD,1,1500,1531.7297,0,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,Mediterranean Sea Winter,1,6000,0,7.6237,17.2055
13,50,1500,-2,15,1512.1809,1,SD,1,1500,1531.7297,0,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,Mediterranean Sea Winter,1,7000,0,4.8747,20.0589
14,50,1500,-2,15,1512.1809,1,SD,1,1500,1531.7297,0,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,Mediterranean Sea Winter,1,8000,0,4.5026,24.9236
15,50,1500,-2,15,1512.1809,1,SD,1,1500,1531.7297,0,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,Mediterranean Sea Winter,1,9000,1,0.023558,27.6984
16,50,1500,-2,30,1512.2738,1,SD,1,1500,1531.7297,0,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,Mediterranean Sea Winter,1,20000,1,0,64.5883
17,50,1500,-2,30,1512.2738,1,SD,1,1500,1531.7297,0,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,Mediterranean Sea Winter,1,500,0,24.8087,2.3995
18,50,1500,-2,30,1512.2738,1,SD,1,1500,1531.7297,0,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,Mediterranean Sea Winter,1,1000,0,19.4173,4.0071
19,50,1500,-2,30,1512.2738,1,SD,1,1500,1531.7297,0,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,Mediterranean Sea Winter,1,1500,0,15.7309,5.7561
20,50,1500,-2,30,1512.2738,1,SD,1,1500,1531.7297,0,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,Mediterranean Sea Winter,1,2000,0,14.5991,7.4862
21,50,1500,-2,30,1512.2738,1,SD,1,1500,1531.7297,0,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,Mediterranean Sea Winter,1,2500,0,8.3673,8.9107
22,50,1500,-2,30,1512.2738,1,SD,1,1500,1531.7297,0,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,Mediterranean Sea Winter,1,3000,0,9.5759,10.5485
23,50,1500,-2,30,1512.2738,1,SD,1,1500,1531.7297,0,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,Mediterranean Sea Winter,1,3500,0,10.1926,12.3183
24,50,1500,-2,30,1512.2738,1,SD,1,1500,1531.7297,0,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,Mediterranean Sea Winter,1,4000,0,11.5479,14.0508
25,50,1500,-2,30,1512.2738,1,SD,1,1500,1531.7297,0,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,Mediterranean Sea Winter,1,4500,0,8.6405,15.3996
26,50,1500,-2,30,1512.2738,1,SD,1,1500,1531.7297,0,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,Mediterranean Sea Winter,1,5000,0,8.865,15.5819
27,50,1500,-2,30,1512.2738,1,SD,1,1500,1531.7297,0,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,Mediterranean Sea Winter,1,6000,0,8.6651,18.304
28,50,1500,-2,30,1512.2738,1,SD,1,1500,1531.7297,0,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,Mediterranean Sea Winter,1,7000,0,4.5956,21.5917
29,50,1500,-2,30,1512.2738,1,SD,1,1500,1531.7297,0,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,Mediterranean Sea Winter,1,8000,0,2.8991,27.1344
30,50,1500,-2,30,1512.2738,1,SD,1,1500,1531.7297,0,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,Mediterranean Sea Winter,1,9000,0,2.717,30.6838
31,50,1500,-2,30,1512.2738,1,SD,1,1500,1531.7297,0,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,Mediterranean Sea Winter,1,10000,1,0.1987,34.0827
