runID,water_depth_min,water_depth_max,wedge_slope,source_depth,SSP_source,source_in_duct,duct_type,surface_duct,surface_duct_depth,surface_duct_SSP,bottom_duct,bottom_duct_depth,bottom_duct_width,bottom_duct_SSP,waveguide,CHmax_axis,SSP_CHmax,deep_CH_axis,deep_CH_SSP,shallow_CH_axis,shallow_CH_SSP,profile,bottom_type,num_rays,criterion,residual,runtime
1,50,1500,-2,15,1483.1813,1,SD,1,49.5495,1484.2309,0,NaN,NaN,NaN,1,500,1474.6616,NaN,NaN,NaN,NaN,Labrador Sea Autumn,1,20000,1,0,63.2775
2,50,1500,-2,15,1483.1813,1,SD,1,49.5495,1484.2309,0,NaN,NaN,NaN,1,500,1474.6616,NaN,NaN,NaN,NaN,Labrador Sea Autumn,1,500,0,26.7455,2.2411
3,50,1500,-2,15,1483.1813,1,SD,1,49.5495,1484.2309,0,NaN,NaN,NaN,1,500,1474.6616,NaN,NaN,NaN,NaN,Labrador Sea Autumn,1,1000,0,21.6479,3.7825
4,50,1500,-2,15,1483.1813,1,SD,1,49.5495,1484.2309,0,NaN,NaN,NaN,1,500,1474.6616,NaN,NaN,NaN,NaN,Labrador Sea Autumn,1,1500,0,19.2379,5.4127
5,50,1500,-2,15,1483.1813,1,SD,1,49.5495,1484.2309,0,NaN,NaN,NaN,1,500,1474.6616,NaN,NaN,NaN,NaN,Labrador Sea Autumn,1,2000,0,17.9411,6.9243
6,50,1500,-2,15,1483.1813,1,SD,1,49.5495,1484.2309,0,NaN,NaN,NaN,1,500,1474.6616,NaN,NaN,NaN,NaN,Labrador Sea Autumn,1,2500,0,14.2331,8.3451
7,50,1500,-2,15,1483.1813,1,SD,1,49.5495,1484.2309,0,NaN,NaN,NaN,1,500,1474.6616,NaN,NaN,NaN,NaN,Labrador Sea Autumn,1,3000,0,12.3142,9.9893
8,50,1500,-2,15,1483.1813,1,SD,1,49.5495,1484.2309,0,NaN,NaN,NaN,1,500,1474.6616,NaN,NaN,NaN,NaN,Labrador Sea Autumn,1,3500,0,13.2424,11.4142
9,50,1500,-2,15,1483.1813,1,SD,1,49.5495,1484.2309,0,NaN,NaN,NaN,1,500,1474.6616,NaN,NaN,NaN,NaN,Labrador Sea Autumn,1,4000,0,9.9036,13.0407
10,50,1500,-2,15,1483.1813,1,SD,1,49.5495,1484.2309,0,NaN,NaN,NaN,1,500,1474.6616,NaN,NaN,NaN,NaN,Labrador Sea Autumn,1,4500,0,12.6579,14.8371
11,50,1500,-2,15,1483.1813,1,SD,1,49.5495,1484.2309,0,NaN,NaN,NaN,1,500,1474.6616,NaN,NaN,NaN,NaN,Labrador Sea Autumn,1,5000,0,8.5639,16.0185
12,50,1500,-2,15,1483.1813,1,SD,1,49.5495,1484.2309,0,NaN,NaN,NaN,1,500,1474.6616,NaN,NaN,NaN,NaN,Labrador Sea Autumn,1,6000,0,9.8217,19.3092
13,50,1500,-2,15,1483.1813,1,SD,1,49.5495,1484.2309,0,NaN,NaN,NaN,1,500,1474.6616,NaN,NaN,NaN,NaN,Labrador Sea Autumn,1,7000,0,6.8944,22.2703
14,50,1500,-2,15,1483.1813,1,SD,1,49.5495,1484.2309,0,NaN,NaN,NaN,1,500,1474.6616,NaN,NaN,NaN,NaN,Labrador Sea Autumn,1,8000,0,5.4483,25.3416
15,50,1500,-2,15,1483.1813,1,SD,1,49.5495,1484.2309,0,NaN,NaN,NaN,1,500,1474.6616,NaN,NaN,NaN,NaN,Labrador Sea Autumn,1,9000,0,5.5945,28.3789
16,50,1500,-2,15,1483.1813,1,SD,1,49.5495,1484.2309,0,NaN,NaN,NaN,1,500,1474.6616,NaN,NaN,NaN,NaN,Labrador Sea Autumn,1,10000,0,5.0904,32.7372
17,50,1500,-2,15,1483.1813,1,SD,1,49.5495,1484.2309,0,NaN,NaN,NaN,1,500,1474.6616,NaN,NaN,NaN,NaN,Labrador Sea Autumn,1,12500,0,2.5583,39.7935
18,50,1500,-2,15,1483.1813,1,SD,1,49.5495,1484.2309,0,NaN,NaN,NaN,1,500,1474.6616,NaN,NaN,NaN,NaN,Labrador Sea Autumn,1,15000,0,2.0717,46.6327
19,50,1500,-2,30,1483.596,1,SD,1,49.5495,1484.2309,0,NaN,NaN,NaN,1,500,1474.6616,NaN,NaN,NaN,NaN,Labrador Sea Autumn,1,20000,1,0,61.3746
20,50,1500,-2,30,1483.596,1,SD,1,49.5495,1484.2309,0,NaN,NaN,NaN,1,500,1474.6616,NaN,NaN,NaN,NaN,Labrador Sea Autumn,1,500,0,27.9456,2.1505
21,50,1500,-2,30,1483.596,1,SD,1,49.5495,1484.2309,0,NaN,NaN,NaN,1,500,1474.6616,NaN,NaN,NaN,NaN,Labrador Sea Autumn,1,1000,0,21.9976,3.6519
22,50,1500,-2,30,1483.596,1,SD,1,49.5495,1484.2309,0,NaN,NaN,NaN,1,500,1474.6616,NaN,NaN,NaN,NaN,Labrador Sea Autumn,1,1500,0,19.2683,5.2286
23,50,1500,-2,30,1483.596,1,SD,1,49.5495,1484.2309,0,NaN,NaN,NaN,1,500,1474.6616,NaN,NaN,NaN,NaN,Labrador Sea Autumn,1,2000,0,16.9723,6.706
24,50,1500,-2,30,1483.596,1,SD,1,49.5495,1484.2309,0,NaN,NaN,NaN,1,500,1474.6616,NaN,NaN,NaN,NaN,Labrador Sea Autumn,1,2500,0,14.7165,8.2462
25,50,1500,-2,30,1483.596,1,SD,1,49.5495,1484.2309,0,NaN,NaN,NaN,1,500,1474.6616,NaN,NaN,NaN,NaN,Labrador Sea Autumn,1,3000,0,13.6788,10.0355
26,50,1500,-2,30,1483.596,1,SD,1,49.5495,1484.2309,0,NaN,NaN,NaN,1,500,1474.6616,NaN,NaN,NaN,NaN,Labrador Sea Autumn,1,3500,0,12.3713,12.3123
27,50,1500,-2,30,1483.596,1,SD,1,49.5495,1484.2309,0,NaN,NaN,NaN,1,500,1474.6616,NaN,NaN,NaN,NaN,Labrador Sea Autumn,1,4000,0,10.6584,12.8398
28,50,1500,-2,30,1483.596,1,SD,1,49.5495,1484.2309,0,NaN,NaN,NaN,1,500,1474.6616,NaN,NaN,NaN,NaN,Labrador Sea Autumn,1,4500,0,11.5291,14.3072
29,50,1500,-2,30,1483.596,1,SD,1,49.5495,1484.2309,0,NaN,NaN,NaN,1,500,1474.6616,NaN,NaN,NaN,NaN,Labrador Sea Autumn,1,5000,0,11.2974,15.917
30,50,1500,-2,30,1483.596,1,SD,1,49.5495,1484.2309,0,NaN,NaN,NaN,1,500,1474.6616,NaN,NaN,NaN,NaN,Labrador Sea Autumn,1,6000,0,11.7027,18.7656
31,50,1500,-2,30,1483.596,1,SD,1,49.5495,1484.2309,0,NaN,NaN,NaN,1,500,1474.6616,NaN,NaN,NaN,NaN,Labrador Sea Autumn,1,7000,0,7.8529,21.688
32,50,1500,-2,30,1483.596,1,SD,1,49.5495,1484.2309,0,NaN,NaN,NaN,1,500,1474.6616,NaN,NaN,NaN,NaN,Labrador Sea Autumn,1,8000,0,5.9073,25.3684
33,50,1500,-2,30,1483.596,1,SD,1,49.5495,1484.2309,0,NaN,NaN,NaN,1,500,1474.6616,NaN,NaN,NaN,NaN,Labrador Sea Autumn,1,9000,0,6.8374,27.7006
34,50,1500,-2,30,1483.596,1,SD,1,49.5495,1484.2309,0,NaN,NaN,NaN,1,500,1474.6616,NaN,NaN,NaN,NaN,Labrador Sea Autumn,1,10000,0,6.7408,30.7499
35,50,1500,-2,30,1483.596,1,SD,1,49.5495,1484.2309,0,NaN,NaN,NaN,1,500,1474.6616,NaN,NaN,NaN,NaN,Labrador Sea Autumn,1,12500,0,3.07,38.1605
36,50,1500,-2,30,1483.596,1,SD,1,49.5495,1484.2309,0,NaN,NaN,NaN,1,500,1474.6616,NaN,NaN,NaN,NaN,Labrador Sea Autumn,1,15000,0,5.3266,46.2019
37,50,1500,-2,15,1483.1813,1,SD,1,49.5495,1484.2309,0,NaN,NaN,NaN,1,500,1474.6616,NaN,NaN,NaN,NaN,Labrador Sea Autumn,2,20000,1,0,67.9923
38,50,1500,-2,15,1483.1813,1,SD,1,49.5495,1484.2309,0,NaN,NaN,NaN,1,500,1474.6616,NaN,NaN,NaN,NaN,Labrador Sea Autumn,2,500,0,25.9636,2.4295
39,50,1500,-2,15,1483.1813,1,SD,1,49.5495,1484.2309,0,NaN,NaN,NaN,1,500,1474.6616,NaN,NaN,NaN,NaN,Labrador Sea Autumn,2,1000,0,21.0965,4.3061
40,50,1500,-2,15,1483.1813,1,SD,1,49.5495,1484.2309,0,NaN,NaN,NaN,1,500,1474.6616,NaN,NaN,NaN,NaN,Labrador Sea Autumn,2,1500,0,18.7734,5.5123
41,50,1500,-2,15,1483.1813,1,SD,1,49.5495,1484.2309,0,NaN,NaN,NaN,1,500,1474.6616,NaN,NaN,NaN,NaN,Labrador Sea Autumn,2,2000,0,17.0284,6.9401
42,50,1500,-2,15,1483.1813,1,SD,1,49.5495,1484.2309,0,NaN,NaN,NaN,1,500,1474.6616,NaN,NaN,NaN,NaN,Labrador Sea Autumn,2,2500,0,12.902,8.4572
43,50,1500,-2,15,1483.1813,1,SD,1,49.5495,1484.2309,0,NaN,NaN,NaN,1,500,1474.6616,NaN,NaN,NaN,NaN,Labrador Sea Autumn,2,3000,0,11.4323,10.0949
44,50,1500,-2,15,1483.1813,1,SD,1,49.5495,1484.2309,0,NaN,NaN,NaN,1,500,1474.6616,NaN,NaN,NaN,NaN,Labrador Sea Autumn,2,3500,0,12.9126,11.6247
45,50,1500,-2,15,1483.1813,1,SD,1,49.5495,1484.2309,0,NaN,NaN,NaN,1,500,1474.6616,NaN,NaN,NaN,NaN,Labrador Sea Autumn,2,4000,0,9.4305,12.9346
46,50,1500,-2,15,1483.1813,1,SD,1,49.5495,1484.2309,0,NaN,NaN,NaN,1,500,1474.6616,NaN,NaN,NaN,NaN,Labrador Sea Autumn,2,4500,0,11.9867,14.9503
47,50,1500,-2,15,1483.1813,1,SD,1,49.5495,1484.2309,0,NaN,NaN,NaN,1,500,1474.6616,NaN,NaN,NaN,NaN,Labrador Sea Autumn,2,5000,0,7.2659,16.3262
48,50,1500,-2,15,1483.1813,1,SD,1,49.5495,1484.2309,0,NaN,NaN,NaN,1,500,1474.6616,NaN,NaN,NaN,NaN,Labrador Sea Autumn,2,6000,0,9.5207,19.6339
49,50,1500,-2,15,1483.1813,1,SD,1,49.5495,1484.2309,0,NaN,NaN,NaN,1,500,1474.6616,NaN,NaN,NaN,NaN,Labrador Sea Autumn,2,7000,0,5.8145,22.9277
50,50,1500,-2,15,1483.1813,1,SD,1,49.5495,1484.2309,0,NaN,NaN,NaN,1,500,1474.6616,NaN,NaN,NaN,NaN,Labrador Sea Autumn,2,8000,0,5.2496,25.6826
51,50,1500,-2,15,1483.1813,1,SD,1,49.5495,1484.2309,0,NaN,NaN,NaN,1,500,1474.6616,NaN,NaN,NaN,NaN,Labrador Sea Autumn,2,9000,0,4.6673,28.9081
52,50,1500,-2,15,1483.1813,1,SD,1,49.5495,1484.2309,0,NaN,NaN,NaN,1,500,1474.6616,NaN,NaN,NaN,NaN,Labrador Sea Autumn,2,10000,0,5.1987,32.0027
53,50,1500,-2,15,1483.1813,1,SD,1,49.5495,1484.2309,0,NaN,NaN,NaN,1,500,1474.6616,NaN,NaN,NaN,NaN,Labrador Sea Autumn,2,12500,0,2.5785,39.8416
54,50,1500,-2,15,1483.1813,1,SD,1,49.5495,1484.2309,0,NaN,NaN,NaN,1,500,1474.6616,NaN,NaN,NaN,NaN,Labrador Sea Autumn,2,15000,0,1.7836,46.8657
55,50,1500,-2,30,1483.596,1,SD,1,49.5495,1484.2309,0,NaN,NaN,NaN,1,500,1474.6616,NaN,NaN,NaN,NaN,Labrador Sea Autumn,2,20000,1,0,60.6894
56,50,1500,-2,30,1483.596,1,SD,1,49.5495,1484.2309,0,NaN,NaN,NaN,1,500,1474.6616,NaN,NaN,NaN,NaN,Labrador Sea Autumn,2,500,0,27.6952,2.1531
57,50,1500,-2,30,1483.596,1,SD,1,49.5495,1484.2309,0,NaN,NaN,NaN,1,500,1474.6616,NaN,NaN,NaN,NaN,Labrador Sea Autumn,2,1000,0,22.1224,3.6513
58,50,1500,-2,30,1483.596,1,SD,1,49.5495,1484.2309,0,NaN,NaN,NaN,1,500,1474.6616,NaN,NaN,NaN,NaN,Labrador Sea Autumn,2,1500,0,18.9267,6.0445
