runID,water_depth_min,water_depth_max,wedge_slope,source_depth,SSP_source,source_in_duct,duct_type,surface_duct,surface_duct_depth,surface_duct_SSP,bottom_duct,bottom_duct_depth,bottom_duct_width,bottom_duct_SSP,waveguide,CHmax_axis,SSP_CHmax,deep_CH_axis,deep_CH_SSP,shallow_CH_axis,shallow_CH_SSP,profile,bottom_type,num_rays,criterion,residual,runtime
24,50,1500,-2,30,1497.2763,0,NaN,0,NaN,NaN,0,NaN,NaN,NaN,2,249.2492,1478.2504,900.9009,1481.0375,NaN,NaN,South Pacific Ocean Winter,1,2500,0,14.2774,8.6901
25,50,1500,-2,30,1497.2763,0,NaN,0,NaN,NaN,0,NaN,NaN,NaN,2,249.2492,1478.2504,900.9009,1481.0375,NaN,NaN,South Pacific Ocean Winter,1,3000,0,14.0196,10.4233
26,50,1500,-2,30,1497.2763,0,NaN,0,NaN,NaN,0,NaN,NaN,NaN,2,249.2492,1478.2504,900.9009,1481.0375,NaN,NaN,South Pacific Ocean Winter,1,3500,0,12.6575,11.8463
27,50,1500,-2,30,1497.2763,0,NaN,0,NaN,NaN,0,NaN,NaN,NaN,2,249.2492,1478.2504,900.9009,1481.0375,NaN,NaN,South Pacific Ocean Winter,1,4000,0,12.6801,13.9209
28,50,1500,-2,30,1497.2763,0,NaN,0,NaN,NaN,0,NaN,NaN,NaN,2,249.2492,1478.2504,900.9009,1481.0375,NaN,NaN,South Pacific Ocean Winter,1,4500,0,11.1874,16.2713
29,50,1500,-2,30,1497.2763,0,NaN,0,NaN,NaN,0,NaN,NaN,NaN,2,249.2492,1478.2504,900.9009,1481.0375,NaN,NaN,South Pacific Ocean Winter,1,5000,0,9.7749,17.8823
30,50,1500,-2,30,1497.2763,0,NaN,0,NaN,NaN,0,NaN,NaN,NaN,2,249.2492,1478.2504,900.9009,1481.0375,NaN,NaN,South Pacific Ocean Winter,1,6000,0,9.6211,21.1424
31,50,1500,-2,30,1497.2763,0,NaN,0,NaN,NaN,0,NaN,NaN,NaN,2,249.2492,1478.2504,900.9009,1481.0375,NaN,NaN,South Pacific Ocean Winter,1,7000,0,8.8091,24.676
32,50,1500,-2,30,1497.2763,0,NaN,0,NaN,NaN,0,NaN,NaN,NaN,2,249.2492,1478.2504,900.9009,1481.0375,NaN,NaN,South Pacific Ocean Winter,1,8000,0,6.7302,28.3488
33,50,1500,-2,30,1497.2763,0,NaN,0,NaN,NaN,0,NaN,NaN,NaN,2,249.2492,1478.2504,900.9009,1481.0375,NaN,NaN,South Pacific Ocean Winter,1,9000,0,6.015,30.1937
34,50,1500,-2,30,1497.2763,0,NaN,0,NaN,NaN,0,NaN,NaN,NaN,2,249.2492,1478.2504,900.9009,1481.0375,NaN,NaN,South Pacific Ocean Winter,1,10000,0,6.0357,31.9201
35,50,1500,-2,30,1497.2763,0,NaN,0,NaN,NaN,0,NaN,NaN,NaN,2,249.2492,1478.2504,900.9009,1481.0375,NaN,NaN,South Pacific Ocean Winter,1,12500,0,4.5941,42.6021
36,50,1500,-2,30,1497.2763,0,NaN,0,NaN,NaN,0,NaN,NaN,NaN,2,249.2492,1478.2504,900.9009,1481.0375,NaN,NaN,South Pacific Ocean Winter,1,15000,0,2.7472,51.8492
37,50,1500,-2,15,1497.9264,0,NaN,0,NaN,NaN,0,NaN,NaN,NaN,2,249.2492,1478.2504,900.9009,1481.0375,NaN,NaN,South Pacific Ocean Winter,2,20000,1,0,68.0812
38,50,1500,-2,15,1497.9264,0,NaN,0,NaN,NaN,0,NaN,NaN,NaN,2,249.2492,1478.2504,900.9009,1481.0375,NaN,NaN,South Pacific Ocean Winter,2,500,0,26.7258,2.2815
39,50,1500,-2,15,1497.9264,0,NaN,0,NaN,NaN,0,NaN,NaN,NaN,2,249.2492,1478.2504,900.9009,1481.0375,NaN,NaN,South Pacific Ocean Winter,2,1000,0,22.7605,3.8617
40,50,1500,-2,15,1497.9264,0,NaN,0,NaN,NaN,0,NaN,NaN,NaN,2,249.2492,1478.2504,900.9009,1481.0375,NaN,NaN,South Pacific Ocean Winter,2,1500,0,19.2004,5.6244
41,50,1500,-2,15,1497.9264,0,NaN,0,NaN,NaN,0,NaN,NaN,NaN,2,249.2492,1478.2504,900.9009,1481.0375,NaN,NaN,South Pacific Ocean Winter,2,2000,0,18.2636,7.1592
42,50,1500,-2,15,1497.9264,0,NaN,0,NaN,NaN,0,NaN,NaN,NaN,2,249.2492,1478.2504,900.9009,1481.0375,NaN,NaN,South Pacific Ocean Winter,2,2500,0,16.7584,8.8885
43,50,1500,-2,15,1497.9264,0,NaN,0,NaN,NaN,0,NaN,NaN,NaN,2,249.2492,1478.2504,900.9009,1481.0375,NaN,NaN,South Pacific Ocean Winter,2,3000,0,15.3106,10.5603
44,50,1500,-2,15,1497.9264,0,NaN,0,NaN,NaN,0,NaN,NaN,NaN,2,249.2492,1478.2504,900.9009,1481.0375,NaN,NaN,South Pacific Ocean Winter,2,3500,0,14.0089,13.2759
45,50,1500,-2,15,1497.9264,0,NaN,0,NaN,NaN,0,NaN,NaN,NaN,2,249.2492,1478.2504,900.9009,1481.0375,NaN,NaN,South Pacific Ocean Winter,2,4000,0,13.1904,14.6096
46,50,1500,-2,15,1497.9264,0,NaN,0,NaN,NaN,0,NaN,NaN,NaN,2,249.2492,1478.2504,900.9009,1481.0375,NaN,NaN,South Pacific Ocean Winter,2,4500,0,11.9227,16.4058
47,50,1500,-2,15,1497.9264,0,NaN,0,NaN,NaN,0,NaN,NaN,NaN,2,249.2492,1478.2504,900.9009,1481.0375,NaN,NaN,South Pacific Ocean Winter,2,5000,0,11.3277,17.972
48,50,1500,-2,15,1497.9264,0,NaN,0,NaN,NaN,0,NaN,NaN,NaN,2,249.2492,1478.2504,900.9009,1481.0375,NaN,NaN,South Pacific Ocean Winter,2,6000,0,10.652,21.3624
49,50,1500,-2,15,1497.9264,0,NaN,0,NaN,NaN,0,NaN,NaN,NaN,2,249.2492,1478.2504,900.9009,1481.0375,NaN,NaN,South Pacific Ocean Winter,2,7000,0,9.0115,25.1983
50,50,1500,-2,15,1497.9264,0,NaN,0,NaN,NaN,0,NaN,NaN,NaN,2,249.2492,1478.2504,900.9009,1481.0375,NaN,NaN,South Pacific Ocean Winter,2,8000,0,8.151,27.3304
51,50,1500,-2,15,1497.9264,0,NaN,0,NaN,NaN,0,NaN,NaN,NaN,2,249.2492,1478.2504,900.9009,1481.0375,NaN,NaN,South Pacific Ocean Winter,2,9000,0,8.1597,29.3477
52,50,1500,-2,15,1497.9264,0,NaN,0,NaN,NaN,0,NaN,NaN,NaN,2,249.2492,1478.2504,900.9009,1481.0375,NaN,NaN,South Pacific Ocean Winter,2,10000,0,6.1279,34.1785
53,50,1500,-2,15,1497.9264,0,NaN,0,NaN,NaN,0,NaN,NaN,NaN,2,249.2492,1478.2504,900.9009,1481.0375,NaN,NaN,South Pacific Ocean Winter,2,12500,0,5.1368,43.819
54,50,1500,-2,15,1497.9264,0,NaN,0,NaN,NaN,0,NaN,NaN,NaN,2,249.2492,1478.2504,900.9009,1481.0375,NaN,NaN,South Pacific Ocean Winter,2,15000,0,2.9721,52.3008
55,50,1500,-2,30,1497.2763,0,NaN,0,NaN,NaN,0,NaN,NaN,NaN,2,249.2492,1478.2504,900.9009,1481.0375,NaN,NaN,South Pacific Ocean Winter,2,20000,1,0,65.0988
56,50,1500,-2,30,1497.2763,0,NaN,0,NaN,NaN,0,NaN,NaN,NaN,2,249.2492,1478.2504,900.9009,1481.0375,NaN,NaN,South Pacific Ocean Winter,2,500,0,25.1888,2.3682
57,50,1500,-2,30,1497.2763,0,NaN,0,NaN,NaN,0,NaN,NaN,NaN,2,249.2492,1478.2504,900.9009,1481.0375,NaN,NaN,South Pacific Ocean Winter,2,1000,0,20.125,3.874
58,50,1500,-2,30,1497.2763,0,NaN,0,NaN,NaN,0,NaN,NaN,NaN,2,249.2492,1478.2504,900.9009,1481.0375,NaN,NaN,South Pacific Ocean Winter,2,1500,0,17.8567,5.6103
59,50,1500,-2,30,1497.2763,0,NaN,0,NaN,NaN,0,NaN,NaN,NaN,2,249.2492,1478.2504,900.9009,1481.0375,NaN,NaN,South Pacific Ocean Winter,2,2000,0,16.6161,7.5969
60,50,1500,-2,30,1497.2763,0,NaN,0,NaN,NaN,0,NaN,NaN,NaN,2,249.2492,1478.2504,900.9009,1481.0375,NaN,NaN,South Pacific Ocean Winter,2,2500,0,13.5556,9.3524
61,50,1500,-2,30,1497.2763,0,NaN,0,NaN,NaN,0,NaN,NaN,NaN,2,249.2492,1478.2504,900.9009,1481.0375,NaN,NaN,South Pacific Ocean Winter,2,3000,0,13.0647,10.9986
62,50,1500,-2,30,1497.2763,0,NaN,0,NaN,NaN,0,NaN,NaN,NaN,2,249.2492,1478.2504,900.9009,1481.0375,NaN,NaN,South Pacific Ocean Winter,2,3500,0,12.6742,13.1763
63,50,1500,-2,30,1497.2763,0,NaN,0,NaN,NaN,0,NaN,NaN,NaN,2,249.2492,1478.2504,900.9009,1481.0375,NaN,NaN,South Pacific Ocean Winter,2,4000,0,13.1695,15.0437
64,50,1500,-2,30,1497.2763,0,NaN,0,NaN,NaN,0,NaN,NaN,NaN,2,249.2492,1478.2504,900.9009,1481.0375,NaN,NaN,South Pacific Ocean Winter,2,4500,0,11.48,16.8395
65,50,1500,-2,30,1497.2763,0,NaN,0,NaN,NaN,0,NaN,NaN,NaN,2,249.2492,1478.2504,900.9009,1481.0375,NaN,NaN,South Pacific Ocean Winter,2,5000,0,9.356,18.4305
