,water_depth_min,water_depth_max,wedge_slope,source_depth,bottom_type,len_slope,SLD_depth,SLD_avgrad,DC_axis,DC_top,DC_bot,DC_avgrad_top,DC_avgrad_bot,SSP_wmin,SSP_wmax,SSP_src,SSP_dcax,SSP_dcb,SSP_dct,SSP_sld,Autumn,Spring,Summer,Winter,Labrador-Sea,Mediterranean-Sea,North-Pacific-Ocean,Norwegian-Sea,South-Atlantic-Ocean,South-Pacific-Ocean
2062,1200,1200,0,50,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1492.823906,1492.823906,1521.773242,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2063,350,1500,-2,200,1,32932.0,0.0,0.0,500.0,50.0,1500.0,-0.02786806242424262,0.009067539000000128,1475.2120315,1483.729102,1477.637578,1474.661563,1483.729102,1484.245547,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2064,600,600,0,100,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1496.004844,1496.004844,1513.730508,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2065,150,1500,2,200,2,38659.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1509.821875,1493.999375,1507.189453,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2066,750,750,0,70,1,0.0,0.0,0.0,125.0,20.0,500.0,-0.05824202733333382,0.01886406000000079,1473.825254,1473.825254,1468.336797,1465.369141,1472.388281,1472.135078,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2067,1050,1500,2,150,2,12886.0,0.0,0.0,150.0,100.0,200.0,-0.02203672000000097,0.02704454000000169,1477.0881055,1482.384961,1469.236367,1469.236367,1470.588594,1470.338203,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2068,600,600,0,100,1,0.0,0.0,0.0,100.0,20.0,600.0,-0.1159580166666662,0.01100362363636329,1517.777656,1517.777656,1512.183359,1512.183359,1517.777656,1518.854102,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2069,150,1500,2,200,1,38659.0,0.0,0.0,150.0,100.0,200.0,-0.02203672000000097,0.02704454000000169,1469.236367,1482.384961,1470.588594,1469.236367,1470.588594,1470.338203,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2070,250,250,0,50,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1505.739102,1505.739102,1520.728867,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2071,600,1500,2,50,1,25773.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1475.222422,1483.797305,1479.461953,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2072,750,1500,-2,15,2,21477.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1467.152578,1470.093633,1476.8904885,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2073,450,1500,2,30,1,30068.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1477.354863,1470.076484,1486.766367,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2074,150,150,0,50,1,0.0,0.0,0.0,70.0,50.0,100.0,-0.01411130000000185,0.01135286666666768,1465.659844,1465.659844,1463.768867,1463.486641,1463.827227,1463.768867,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
